Code;Libelle;Type;Commune;Cours d'eau;Masse d'eau;
05189000;Le Canal du Porge à Cleyse-Vieille;STQ;Porge;Craste de Louley;Canal du Porge ou des Etangs;
05021110;La Tardoire au niveau de Montbron;STQ;Eymouthiers;La Tardoire;La Tardoire du confluent de la Colle au confluent des Bonnettes;
05236910;L'Haniberreko Erreka au niveau d 'Ascain;STQ;Ascain;Haniberreko Erreka;Haniberreko Erreka;
05096810;Le Bès à Saint-Juéry;STQ;Saint Juéry;Le Bès;Le Bès du confluent de la Gambaïse au barrage de Grandval;
05157600;Le Visenc à Baziège;STQ;Baziège;Ruisseau de Visenc;Ruisseau de Visenc;
05121000;L'Aveyron à Féneyrols;STQ;Féneyrols;l'Aveyron;L'Aveyron du confluent du Viaur au confluent de la Vère;
05155150;La Boulouze à Endoufielle;STQ;Auradé;La Boulouze;La Boulouze (Le Mourères) de sa source au confluent de la Save;
05052540;La Couze à Chasteaux;STQ;Chasteaux;La Couze;La Couze de sa source au lac du Causse;
05044310;Le Crassat à La Meyze;STQ;Meyze;Le Crassat;Le Crassat;
05167010;Le Grand Hers à Vals;STQ;Pujols;Le Grand Hers;L'Hers vif du confluent du Blau au confluent de la Vixiège;
05200050;La Nive d'Arnéguy à Uhart Cize;STQ;Uhart Cize;La Nive d'Arnéguy;La Nive d'Arnéguy de sa source au confluent de la Nive de Béherobie;
05090600;Le Célé à Béduer;STQ;Camboulit;Le Célé;Le Célé du confluent du Drauzou au confluent du Lot;
05111040;La Baïse à Lannemezan;STQ;Lannemezan;La Baise;La petite Baïse de sa source au confluent de la Sole (incluse);
05231070;Le Bahus au niveau de Montsoué;STQ;Montsoué;Le Bahus;Le Bahus du barrage de Miramont-Sensacq au confluent de l'Adour;
05234003;Le Ruisseau Lanénos au niveau de Montegut Arros;STQ;Montégut Arros;Ruisseau Lanénos;Ruisseau Lanénos;
05139900;Le Vernoubre à Castenau De Brassac;STQ;Fontrieu;Le Vernoubre;Le Vernoubre;
05230990;L'Adour en aval de Saint-Sever;STQ;Saint Sever;l'Adour;L'Adour du confluent de l'Echez au confluent de la Midouze;
05234008;Le Bouès au niveau de Laas;STQ;Laas;Le Bouès;Le Bouès du lieu-dit le Moulin au confluent de l'Arros;
05095150;Le Dourdou amont Nauviale;STQ;Nauviale;Le Dourdou;Le Dourdou du confluent des Douzes (inclus) au confluent de la Bindouyre;
05074710;Le Ruisseau de la Peguillère au niveau de Cadaujac;STQ;Cadaujac;Ruisseau de la Peguillère;Ruisseau de la Peguillère;
05033220;Le Voultron à Blanzaguet-Saint-Cybard;STQ;Blanzaguet Saint Cybard;Le Voultron;Le Voultron;
05084700;Le Lot à Castelmoron-sur-Lot;STQ;Castelmoron sur Lot;Le Lot;Le Lot du confluent de la Lémance au confluent de la Garonne;
05061300;La Sourdoire en aval de Vayrac;STQ;Vayrac;La Sourdoire;La Sourdoire de sa source au confluent de la Dordogne;
05032100;L'Auzonne à Pillac;STQ;Pillac;l'Auzonne;L'Auzonne;
05111340;La Baïsole au niveau de Saint Michel;STQ;Saint Michel;La Baisole;La Baïsole du barrage de Puydarrieux au confluent de la Baïse;
05068927;La Véronne à Riom ès Montagne (Pont de la D163);STQ;Riom ès Montagnes;La Véronne;La Véronne de sa source au confluent de la Rhue de Cheylade;
06823X0111/SCE;STE-RADEGONDE - Les Cadorettes;QZ;Sainte Radegonde;;Calcaires, grés et sables du turonien-coniacien libre BV Charente-Gironde;
05091311;Le ruisseau de Salabert au niveau de Bagnac-sur-Célé;STQ;Bagnac sur Célé;Ruisseau de Salabert;;
P09-5053;Barrage de la Triouzoune;STQL;Neuvic;;Retenue de la Triouzoune;
05000250;Le Canal d'Amenee de l'Unima à Cire d'Aunis;STQ;Ballon;La Devise;La Devise du lieu-dit le gué Charreau au confluent de la Charente;
10057X0003/LESP-2;SIMACOURBE - Lespielle;QZ;Simacourbe;;sables, calcaires et dolomies de l'éocène-paléocène captif sud AG;
09261X0123/F3;ROQUEFORT - Chemin de Crouze - Stade M. Sarro;QZ;Roquefort;;;
05120130;La Bonnette à Caylus;STQ;Caylus;La Bonnette;La Bonnette de sa source au confluent de l'Aveyron;
05216130;Le Béez au niveau d'Asson;STQ;Asson;Le Béez;Le Béez de sa source au confluent du Gave de Pau;
05121320;Le Fonpeyrouse au droit de Caylus;STQ;Caylus;Ruisseau de Fonpeyrouse;;
05235062;L'Aule à Sarriac en Bigorre;STQ;Sarriac Bigorre;l'Aule;L'Aule;
09767X0058/F;ORIST - Forage Plachot;QZ;Orist;;;
05181100;Le Job au niveau d'Encausse les thermes;STQ;Encausse les Thermes;Le Job;Le Job du confluent du Ouastadet au confluent du Ger;
05099450;Le Lot en aval de St Laurent d'Olt;STQ;Saint Laurent d'Olt;Le Lot;Le Lot du confluent du Doulou (inclus) au barrage de Castelnau-Lassouts;
05057150;La Vézère à Orlianges;STQ;Pérols sur Vézère;La Vézère;La Vézère de sa source au lac de Viam;
05080940;Le Caubon à Castelnau sur Gupie;STQ;Castelnau sur Gupie;Le Caubon;Le Caubon;
05108145;La Bèze au niveau de Beaucaire;STQ;Beaucaire;La Bèze;La Bèze;
05011640;Le Condéon à Barbezieux St Hilaire;STQ;Barbezieux Saint Hilaire;Ruisseau de Condéon;;
05120016;La Lère au lieu dit Lapeyre;STQ;Monteils;Rivière la Lère;La Lère de sa source au confluent du Cande;
05012500;L'Antenne à Mons;STQ;Mons;l'Antenne;;
05236220;Pont d'Arrimoula;STQ;Campan;Ruisseau d'Arrimoula;Ruisseau d'Arrimoula;
08272X0738/F;TALENCE - Forage RABA;QZ;Talence;;Calcaires et sables de l'oligocène à l'ouest de la Garonne;
05034800;La Côle à St jory de Chalais;STQ;Saint Jory de Chalais;La Côle;La Côle du barrage de Mialet au confluent du Touroulet;
05000255;La Devise au niveau de Cire d'Aunis;STQ;Ciré d'Aunis;La Devise;La Devise du lieu-dit le gué Charreau au confluent de la Charente;
05031380;Le Ruisseau du Moulin d'Aignes au niveau de St Cybard;STQ;Montmoreau Saint Cybard;Ruisseau du Moulin d'Aignes;Ruisseau du Moulin d'Aignes;
05218460;Le Gave de Pau à Villelongue (Amont de la confluence Gave de Cauterets);STQ;Villelongue;Gave de Pau;La Gave de Pau du confluent du Pailla au confluent du Gave de Cauterets;
05012700;La Gravelle au Gicq;STQ;Gicq;La Gravelle;La Gravelle;
05129160;Le Ruisseau de Pengaline au niveau d'Orgueil;STQ;Orgueil;Ruisseau de Pengaline;Ruisseau de Pengaline;
05172900;L'Ariège au Pont du Diable;STQ;Montoulieu;l'Ariège;L'Ariège du barrage de Garrabet au confluent du Vernajoul (Fajal, inclus);
05128000;L'Aveyron à Lugans;STQ;Gaillac d'Aveyron;l'Aveyron;L'Aveyron de sa source au confluent de la Serre;
05024350;Le Chenal de la Perrotine à St Georges d'Oléron;STQ;Saint Georges d'Oléron;Chenal de la Perrotine;;
05055105;La Vimbelle au niveau de Naves;STQ;Naves;La Vimbelle;La Vimbelle (Rouillard) de sa source au confluent de la Corrèze;
05035400;Ruisseau affluent de la Dronne;STQ;Châlus;Non nommé;[Toponyme inconnu] P7001000;
10766X0089/HY;BELESTA - FONTESTORBES;QZ;Bélesta;;Calcaires du plateau de Sault BV Ariège;
05074100;Le Magudas au niveau de St Medard en Jalles;STQ;Saint Médard en Jalles;Ruisseau de Magudas;Ruisseau de Magudas;
05162622;Le Touch à Casties-Labrande;STQ;Casties Labrande;Le Touch;Le Touch de sa source au confluent de la Garonne;
05078910;Le Babin à St-Laurent-du-Plan;STQ;Saint Laurent du Plan;Le Babin;Le Babin;
05217149;Le Gave de Pau en amont de Lourdes;STQ;Lourdes;Gave de Pau;Le Gave de Pau du confluent du Nès au lieu-dit Grottes de Bétharram;
05102120;Le Rieucros d'Abaïsse à Mende;STQ;Mende;Rieucros d'Abaïsse;Rieucros d'Abaïsse;
05181900;Le Lavet à Villeneuve de Rivière;STQ;Villeneuve de Rivière;Le Lavet;Le Lavet;
05173200;Le Siguer en amont de Siguer;STQ;Siguer;Ruisseau de Siguer;Le Siguer du confluent de l'Escales et du Siguer au confluent du Vicdessos;
05060900;La Dordogne à St-Julien de Lampon;STQ;Calviac en Périgord;La Dordogne;La Dordogne du confluent du Tournefeuille au confluent de la Vézère;
05227240;La Gouaneyre à Maillères;STQ;Arue;La Gouaneyre;La Gouaneyre;
05153970;La Lauze à Saramon;STQ;Saramon;La Lauze;La Lauze de sa source au confluent de la Gimone;
09511X0015/F;Saint Yaguen -Dontan -Forage Loustaounaou - D16;QZ;Saint Yaguen;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif;
05213120;L'Ousse des Bois à Denguin;STQ;Denguin;l'Ousse des Bois;L'Ousse des Bois;
05058600;Le Céou à Castelnaud-la-chapelle;STQ;Castelnaud la Chapelle;Le Céou;Le Céou du confluent de l'Ourajoux au confluent de la Dordogne;
07573X0001/HY;ST-SEVERIN - Font du Gour;QZ;Saint Séverin;;Calcaires et sables du turonien coniacien captif nord-aquitain;
10098X0253/F;LAGARDELLE-SUR-LEZE - Chemin de Redon (puits);QZ;Lagardelle sur Lèze;;Alluvions de l'Ariège et affluents;
05145600;Le Tarn à St-Rome du Tarn;STQ;Saint Rome de Tarn;Le Tarn;Retenue de Pinet;
05139100;La Durenque à Castres;STQ;Castres;La Durenque;La Durenque du confluent de la Durencuse au confluent de l'Agout;
O0745003;Barrage du Filleit;STQL;Mas d'Azil;;Retenue du Filleit;
05044232;L'Isle à St-Paul-la-Roche;STQ;Saint Paul la Roche;l'Isle;L'Isle de sa source au confluent de la Valouse;
08138X0210/S;ALBARET-LE-COMTAL - Source d'Albre n°5;QZ;Termes;;Socle BV Lot secteurs hydro o7-o8;
10356X0108/F;CINTEGABELLE - Gassiot;QZ;Cintegabelle;;Alluvions de l'Ariège et affluents;
05061120;La Dordogne à Meyronne;STQ;Saint Sozy;La Dordogne;La Dordogne du confluent de la Cère au confluent du Tournefeuille;
05224100;Le Retjon à Tartas;STQ;Tartas;Le Retjons;Le Retjons de sa source au confluent de la Midouze;
05022285;La Sonnette à Ventouse;STQ;Ventouse;La Sonnette;La Sonnette;
05068270;La Souvigne en aval d'Argentat;STQ;Argentat;La Souvigne;La Souvigne de sa source au confluent de la Dordogne;
05068750;La Diège à l'aval d'Ussel;STQ;Saint Exupéry les Roches;La Diège;La Diège (Langlade) du confluent de la Sarsonne au barrage les Chaumettes;
Q2265013;Barrage de Tailluret;STQL;Mauléon d'Armagnac;;Retenue de Tailluret;
05237300;Le Basarun Erreka à Saint Jean de Luz (Lieu dit Xibau Berria);STQ;Saint Jean de Luz;Basarun Erreka;Basarun Erreka;
05129073;Le Tescounet au moulin de la Ganguise;STQ;Saint Nauphary;Bras du Tescounet;;
05165000;La Lèze à Labarthe / Lèze;STQ;Labarthe sur Lèze;La Lèze;La Lèze de sa source au confluent de l'Ariège;
05173250;Le Ruisseau d'Artiès au niveau d'Auzat;STQ;Auzat;Ruisseau d'Artiès;Ruisseau d'Artiès;
10306X0035/F4;BORDES - Bordes 4;QZ;Bordes;;sables, calcaires et dolomies de l'éocène-paléocène captif sud AG;
05234016;Le Laca à Gourgue;STQ;Gourgue;Le Laca;Le Laca;
05097000;Le Lander en aval de St-Flour;STQ;Saint Georges;Le Lander;Le Lander du confluent du Babory (inclus) au barrage de Grandval;
05148080;Le Trévezel au niveau de Lanuejouls;STQ;Lanuéjols;Le Trèvezel;Le Trèvezel de sa source au confluent du Bonheur (inclus);
05072200;Le Grand Fossé d'évacuation à St Thomas de Conac;STQ;Saint Thomas de Conac;Grand Fossé d'Evacuation;;
09595X0003/HY;REALMONT -  Fon Del Garric (Magnabal);QZ;Réalmont;;Alluvions du Tarn, du Dadou et de l'Agout secteurs hydro o3-o4;
05230020;Le ruisseau de Laudon au niveau d'Audignon;STQ;Audignon;Ruisseau de Laudon;Ruisseau de Laudon;
05061130;Le sans-nom au niveau de Miers;STQ;Miers;Non nommé;[Toponyme inconnu] P2181040;
05231500;L'Adour à Cazères;STQ;Cazères sur l'Adour;l'Adour;L'Adour du confluent de l'Echez au confluent de la Midouze;
05234250;Le Mardaing au niveau d'Ibos;STQ;Ibos;Bras du Ruisseau le Mardaing;;
05183920;La Pique à Cier-Gaud;STQ;Cierp Gaud;La Pique;La Pique du confluent de la Neste d'Oô au confluent de la Garonne;
09017X0006/HY;BARBASTE - Source GUILLERY;QZ;Barbaste;;Sables plio-quaternaires du bassin de la Garonne région hydro et terrasses anciennes de la Garonne;
05200115;Le Laurhibar à Saint Jean le Vieux;STQ;Saint Jean le Vieux;Le Laurhibar;Le Laurhibar de sa source au confluent de la Nive de Béhérobie;
05013151;Le Tourtrat à la sortie du bourg de Réparsac;STQ;Réparsac;Le Tourtrat;Le Tourtrat;
05091762;Le Ruisseau de Jalenques au niveau de Calvinet;STQ;Calvinet;Le Lafage;;
05183000;La Neste d'Aure à St-Laurent;STQ;Saint Laurent de Neste;La Neste;La Neste du confluent de la Neste de Clarabide (Louron) au confluent de la Garonne;
05104320;La Grande Baïse à Buzet-sur-Baïse;STQ;Buzet sur Baïse;La Baise;La Baïse du confluent de la Gélise au confluent de la Garonne;
05149850;Le Tarn en aval de Ste-Enimie;STQ;Sainte Enimie;Le Tarn;Le Tarn du confluent du Valat de la Combe au confluent de la Jonte;
05015300;Les Eaux Claires à St-Michel;STQ;Saint Michel;Les Eaux Claires;Les Eaux Claires de sa source au confluent de la Charente;
05013650;La Guirlande à Bassac;STQ;Bassac;La Guirlande;La Guirlande;
05151990;Le Ruisseau des Aubergès au niveau de Coutures;STQ;Coutures;Ruisseau des Aubergès;Ruisseau des Aubergès;
S2245043;Petit Lac du Bernadas;STQL;Hostens;;;
05077900;Le Beuve à Castets en Dorthe;STQ;Castets en Dorthe;Le Beuve;La petite Beuve du lac de Laprade au confluent de la Garonne;
05053920;Le Coiroux au niveau de Dampniat;STQ;Dampniat;Le Coiroux;Le Coiroux;
05163290;La Garonne à l'entrée dans Toulouse;STQ;Toulouse;La Garonne;La Garonne du confluent de l'Ariège au confluent de l'Aussonnelle;
05125260;Le Lieux à Castanet;STQ;Castanet;Le Lieux de Villelongue;Le Lieux de Villelongue de sa source au confluent du Lézert;
05114800;L'Ousse au niveau de Fleurance;STQ;Fleurance;l'Ousse;L'Ousse;
05081000;La Garonne à Couthures;STQ;Couthures sur Garonne;La Garonne;La Garonne du confluent du Trec à la confluence du Dropt;
05033542;Le ''sans nom'' à St-Pardoux-de-Drône;STQ;Saint Pardoux de Drône;Non nommé;;
05047300;La Seyze à Lembras;STQ;Lembras;La Seyze;La Seyze;
08854X0004/ROCAYS;BANASSAC - source Rocaysou;QZ;Banassac Canilhac;;Calcaires des grands Causses BV Lot;
05115350;Le Larrazet à Labarthe (Gers);STQ;Labarthe;Ruisseau de Larrazet;;
05115550;La Gèze à Castelnau Magnoac;STQ;Castelnau Magnoac;La Gèze;La Gèze;
O6765023;Lac de Lupiac;STQL;Lupiac;;;
05223145;La Gouaougue à Saint Aubin;STQ;Saint Aubin;Ruisseau de la Gouaougue;Ruisseau de la Gouaougue;
05045100;L'Engranne à St Jean de Blaignac;STQ;Saint Jean de Blaignac;Ruisseau de l'Engranne;L'Engranne de sa source à la Dordogne;
05079050;Le Ruisseau de Marquelot à Bagas;STQ;Bagas;Ruisseau de Marquelot;Ruisseau de Marquelot;
10733X0027/HY;ARBAS - Source de Bernatas;QZ;Arbas;;Terrains plissés du BV Garonne secteur hydro o0;
08791X0031/P3;VILLENEUVE-SUR-LOT - La Bourdete;QZ;Villeneuve sur Lot;;Alluvions du Lot;
05076600;La Hure au niveau de Noaillan;STQ;Noaillan;Ruisseau de la Hure;La Grave (Hure) de sa source au confluent du Ciron;
05165750;L'Ariège en aval de Venerque;STQ;Venerque;l'Ariège;L'Ariège du confluent de l'Hers vif au confluent de la Garonne;
07588X0048/F;CHATEAU-L'EVEQUE - La rebière des Armagnacs;QZ;Château l'Evêque;;Calcaires du jurassique moyen et supérieur captif;
05048000;La Couze à Bayac;STQ;Bayac;La Couze;La Couze de sa source au confluent de la Dordogne;
10306X0034/F3;BORDES - Bordes 3;QZ;Bordes;;sables, calcaires et dolomies de l'éocène-paléocène captif sud AG;
05218630;Le Ruisseau des Oulettes au niveau de Gavarnie;STQ;Gavarnie Gèdre;Ruisseau des Oulettes;Les Oulettes de sa source au confluent du Gave de Pau;
05131100;L'Agout à Saint-Lieux-les-Lavaur;STQ;Giroussens;l'Agout;L'Agout du confluent de la Durenque au confluent du Tarn;
05231250;L'Adour en aval de Grenade-sur-Adour;STQ;Larrivière Saint Savin;l'Adour;L'Adour du confluent de l'Echez au confluent de la Midouze;
05057095;La Soudaine au niveau de Soudaine Lavinadiere;STQ;Soudaine Lavinadière;La Soudaine;La Soudaine de sa source à la commune de Soudaine;
07821X0001/SOURCE;BEAURONNE - Lavoir;QZ;Beauronne;;Calcaires du sommet du crétacé supérieur du Périgord;
09772X0021/F2;SAUGNAC-ET-CAMBRAN - F2 Constantine;QZ;Saugnac et Cambran;;Molasses du bassin de l'Adour et alluvions anciennes de Piémont;
10356X0001/F;SAVERDUN- CANALS;QZ;Saverdun;;Alluvions de l'Ariège et affluents;
05132100;L'Agros à Graulhet;STQ;Graulhet;Ruisseau d'Agros;Ruisseau d'Agros;
05157900;L'Hers à Payra sur l'Hers;STQ;Payra sur l'Hers;l'Hers;L'Hers Mort de sa source au confluent du Marès;
05152555;Le ruisseau du Pest au niveau de Ste Anne;STQ;Sainte Anne;Ruisseau du Pest;Le Pest de sa source au confluent du Sarrampion;
10578X0005/F;LES PUJOLS - Gappia (puits);QZ;Pujols;;Alluvions de l'Ariège et affluents;
08792X0023/PZ;DAUSSE - Claou de Bouloc;QZ;Dausse;;Calcaires du jurassique moyen et supérieur captif;
05034850;La Côle au niveau de la coquille;STQ;Coquille;La Côle;La Côle de sa source au barrage de Mialet;
09247X0111/F;BEYLONGUE - Périchéou (captif);QZ;Beylongue;;Grés, calcaires et sables de l'Hévétien (miocène) captif;
05097800;La Truyère à St-Léger du Malzieu;STQ;Saint Léger du Malzieu;La Truyère;La Truyère du confluent de la Rimeize au barrage de Grandval;
05096090;L'Argence Vive au niveau de Ste Genevieve sur Argence;STQ;Argences en Aubrac;l'Argence Vive;L'Argence vive de sa source au confluent de la Truyère;
05176130;La Dourne au niveau de Campagne sur Arize;STQ;Campagne sur Arize;La Dourne;La Dourne;
07062X0004/F1;SAUJON - La Bourgeoisie 1;QZ;Saujon;;Calcaires, grés et sables du turonien-coniacien libre BV Charente-Gironde;
05106330;L'Osse à Montesquiou;STQ;Montesquiou;l'Osse;L'Osse;
05178900;Le Ruisseau de la Gouarège à Prat Bonrepaux;STQ;Prat Bonrepaux;Ruisseau de la Gouarège;La Gouarège de sa source au confluent du Salat;
05080700;La Banège au niveau de Plaisance;STQ;Plaisance;La Banège;La Banège;
05004100;Le Pouzat à St Jean d'Angely;STQ;Saint Jean d'Angély;Le Pouzat;Le Pouzat;
09614X0040/HY;FONDAMENTE - Source de Berlières;QZ;Fondamente;;Calcaires des grands Causses BV Tarn;
05068600;Le Labiou;STQ;Chalvignac;Le Labiou;Le Labiou de sa source au lac de l'Aigle;
08332X0010/HY;CALES - St Sauveur S53;QZ;Calès;;Calcaires des Causses du Quercy BV Dordogne;
08037X0402/F2;FLOIRAC - PASTEUR;QZ;Floirac;;Sables, graviers, galets et calcaires de l'éocène nord AG;
05021480;Le Ruisseau de la Colle au niveau de Saint-Mathieu;STQ;Saint Mathieu;Ruisseau de la Colle;Ruisseau de la Colle;
08277X0235/F;SAINT MEDARD D'EYRANS-Forage parc d'activité de la Prade;QZ;Saint Médard d'Eyrans;;Calcaires et sables de l'oligocène à l'ouest de la Garonne;
05097860;La Truyère en aval de la Limagnole et de la Rimeize;STQ;Rimeize;La Truyère;La Truyère du confluent de la Rimeize au barrage de Grandval;
05231430;Le Ruisseau de Gioulé à Cazeres sur l'Adour;STQ;Cazères sur l'Adour;Ruisseau de Gioulé;Ruisseau de gioulé;
05217140;Le ruisseau des Graves à Lourdes;STQ;Lourdes;Ruisseau des Graves;Ruisseau des Graves;
07294X0012/F;Soulac sur Mer - Neyran;QZ;Soulac sur Mer;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien captif nord-quitain;
05022450;L'Argent à Vieux-Cérier;STQ;Saint Laurent de Céris;l'Argent-Or;L'Argent-Or;
05158150;Le Girou en amont de Verfeil;STQ;Verfeil;Le Girou;Le Girou du confluent de l'Algans au confluent de l'Hers mort;
05115600;Le Gers en aval d'Aries Espenan;STQ;Aries Espénan;Le Gers;Le Gers de sa source au confluent du Sousson;
10046X0136/PZ;BESINGRAND;QZ;Bésingrand;;Alluvions du gave de Pau;
08521X0049/HY;CERONS - Source lavoir communal, chateau St Cricq;QZ;Cérons;;Calcaires et sables de l'oligocène à l'ouest de la Garonne;
05228080;Le Ruisseau de Tauzie au niveau de Retjons;STQ;Retjons;Ruisseau de Tauzie;Le Tauzie de sa source au confluent de l'Estampon;
05091180;Le Célé en amont de Viazac;STQ;Linac;Le Célé;Le Célé du confluent du Veyre au confluent du Drauzou;
05033650;L'Euche au niveau de Creyssac;STQ;Creyssac;l'Euche;L'Euche;
05042070;La Boucheuse à Glandon;STQ;Glandon;La Boucheuse;La Boucheuse du confluent des Baraques au confluent de l'Auvézère;
10305X0234/PZ;UZOS;QZ;Uzos;;Alluvions du gave de Pau;
05055200;La Corrèze à l'aval de Corrèze;STQ;Corrèze;La Corrèze;La Corrèze du confluent du Forgés au confluent de la Solane;
05176000;L'Arize à Rieux Volvestre;STQ;Rieux Volvestre;l'Arize;L'Arize du confluent du Pujol au confluent de la Garonne;
05089042;Le Lot à Cahors (Pont des remparts à Cahors);STQ;Cahors;Le Lot;Le Lot du confluent du Célé au confluent de la Lémance;
O2705023;Barrage de Lunax;STQL;Lalanne Arqué;;Retenue de Lunax;
06824X0007/F;PLASSAY - La Garenne F2;QZ;Plassay;;Calcaires, grés et sables du turonien-coniacien libre BV Charente-Gironde;
05088380;Le Lot au niveau de Grézels;STQ;Grézels;Le Lot;Le Lot du confluent du Célé au confluent de la Lémance;
08035X0338/F;HAILLAN(LE) - MOULINAT - LAYNE;QZ;Haillan;;Sables, graviers, galets et calcaires de l'éocène nord AG;
05035233;La Dronne;STQ;Saint Saud Lacoussière;La Dronne;La Dronne de sa source au confluent du Manet (inclus);
08285X0012/F2;PAILLET - COMMUNAL;QZ;Paillet;;Sables, graviers, galets et calcaires de l'éocène nord AG;
09836B0134/F;LEGUEVIN - Les Pintous;QZ;Léguevin;;Basse et moyenne terrasse de la Garonne rive gauche en amont du Tarn;
05029850;Le Palais au niveau de Valin;STQ;Saint Pierre du Palais;Le Palais;Le Palais du confluent des Lorettes (incluses) au confluent du Lary;
Q3045003;Barrage d'Hagetmau-Monségur;STQL;Hagetmau;;Retenue d'Hagetmau-Monségur;
06367X0187/F;LUSSERAY - Pont de Garerat Supra;QZ;Lusseray;;Calcaires du jurassique moyen charentais captif;
08105X0019/F;PRUDHOMAT - Bonneviole;QZ;Prudhomat;;Alluvions de la Dordogne;
O7505103;Lac de Born;STQL;Marchastel;Non nommé;;
05118760;L'ARRATS à Manent-Montane;STQ;Manent Montané;l'Arrat de devant;L'Arrat de devant;
05168100;Le Touyre à Montferrier;STQ;Montferrier;Le Touyre;Le Touyre;
05125860;Le Viaur à Ségur;STQ;Ségur;Le Viaur;Le Viaur de sa source au réservoir de Pont-de-Salars;
05165850;L'Ariège à Clermont-le-Fort;STQ;Clermont le Fort;l'Ariège;L'Ariège du confluent de l'Hers vif au confluent de la Garonne;
06835X0115/F;ECURAT - Pelouses de Réveilloux (forage);QZ;Ecurat;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien captif nord-quitain;
05083550;La Canaule au niveau de Labretonie;STQ;Labretonie;La Canaule;La Canaule;
05069800;Le ruisseau Abeille en aval de Merlines;STQ;Monestier Merlines;Ruisseau de Labeille;Ruisseau de Labeille;
05181000;La Garonne à Labarthe Inard;STQ;Montespan;La Garonne;La Garonne du confluent de la Neste au confluent du Salat;
05127200;La Fontanges à Rodez;STQ;Rodez;Ruisseau de Fontanges;;
05117110;Le Canal de Golfech à Golfech;STQ;Golfech;Canal de Golfech;Canal de Golfech;
05207060;Le Soussouéou Gave au niveau de Laruns;STQ;Laruns;Le Soussouéou Gave;Le Gave Soussouéou du lac d'Artouste au confluent du Gave d'Ossau;
05069900;Le Chavanon à La Cellette;STQ;Monestier Merlines;Le Chavanon;La Ramade (Chavanon) de l'étang de la Ramade à la retenue de Bort-les-Orgues;
08796X0002/HY;MASSOULES - Source de Joubardet;QZ;Massoulès;;Molasses du bassin du Lot;
05092100;Le Lot à Cajarc (Pont de Cajarc);STQ;Cajarc;Le Lot;Le Lot du confluent de la Diège au confluent du Célé;
05097280;Le Ruisseau de Villedieu à St Flour;STQ;Saint Flour;Ruisseau de Villedieu;Ruisseau de Villedieu;
05183930;La Pique à Cier de Luchon;STQ;Cier de Luchon;La Pique;La Pique du confluent de la Neste d'Oô au confluent de la Garonne;
05127400;L'Aveyron à La Gascarie;STQ;Olemps;l'Aveyron;L'Aveyron du confluent de la Briane au confluent de l'Alzou;
05122720;La Zère;STQ;Combefa;La Zère;La Zère;
07588X0009/ABIME;PERIGUEUX - Le Toulon;QZ;Périgueux;;Calcaires, grés et sables du turonien-coniacien-santonien libre BV Isle-Dronne;
08554X0004/HY;LOUBEJAC - source de Gadet;QZ;Loubejac;;Calcaires, grés et sables du crétacé sup basal libre BV Lot;
05121350;La Seye à La Rouquette;STQ;Ginals;La Seye;La Seye;
05013180;La Soloire au niveau de Bréville;STQ;Bréville;La Soloire;La Soloire (Rouzille) de sa source au confluent de la Charente;
05157370;L'Hers-Mort à Escalquens (amont STEP);STQ;Escalquens;l'Hers;L'Hers Mort du confluent du Marès au confluent de la Garonne;
05236100;L'Adour en amont de Bagnères-de-Bigorre;STQ;Gerde;l'Adour;L'Adour de sa source au confluent de la Douloustre (incluse);
06842X0031/P;BRIE-SOUS-MATHA - Chemin de Matha (puits);QZ;Brie sous Matha;;Calcaires du jurassique supérieur du BV Charente secteurs hydro r0, r1, r2, r3, r5;
05201020;Le Lihoury à Bidache;STQ;Bidache;Le Lihoury;Le Lihoury du confluent de l'Arbéroue au confluent de la Bidouze;
07585X0062/R49;RIBERAC - Saint-Martial (source);QZ;Ribérac;;;
05230010;Le Laudon à Audignon;STQ;Audignon;Ruisseau de Laudon;Ruisseau de Laudon;
09781X0015/P219;MAYLIS - Forage AEP F2 -Q18;QZ;Maylis;;sables, calcaires et dolomies de l'éocène-paléocène captif sud AG;
05165760;L'Aise à Issus;STQ;Venerque;l'Aise;L'Aïse de sa source au confluent de l'Ariège;
05158290;Le Girou à Maurens-Scopont;STQ;Maurens Scopont;Le Girou;Le Girou du confluent de l'Algans au confluent de l'Hers mort;
05140150;L'Agout en aval de La Salvetat-sur-Agout;STQ;Salvetat sur Agout;l'Agout;L'Agout de sa source au lac de la Raviège;
05068369;Le Ruisseau de l'Etang Gros au niveau de Rosiers d'Egletons;STQ;Rosiers d'Egletons;Ruisseau de l'Etang Gros;Ruisseau de l'Etang Gros;
05029750;Le Ruisseau de Gendarme à Petit-Palais-et-Cornemps;STQ;Petit Palais et Cornemps;Ruisseau de Gendarme;Ruisseau de Gendarme;
05064750;Le Mamou dans sa partie aval;STQ;Arpajon sur Cère;Ruisseau de Mamou;Ruisseau de Mamou;
05214000;Le Gave de Pau à Lescar;STQ;Lescar;Gave de Pau;Le Gave de Pau du confluent de l'Ousse au confluent du bras du Gave (inclus);
05178200;Le Lens en amont de Tourtouze;STQ;Tourtouse;Le Lens;Le Lens de sa source au confluent du Salat;
